"","E1A","E1B","E1C","E2A","E2B","E2C","E3A","E3B","E3C","E4A","E4B","E4C","ETEX","ETF","S1A","S1B","S1C","S2A","S2B","S2C","S3A","S3B","S3C","S4A","S4B","S4C","STEX1","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_uva-ursi"
"ASV259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV26",16,15,0,0,0,11,0,0,0,0,0,0,0,0,78,90,491,802,1319,128,163,411,28,43,133,44,0,"","","","","","",""
"ASV260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,"","","","","","",""
"ASV262",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola",NA
"ASV263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV268",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV269",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,"","","","","","",""
"ASV274",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
