"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV41","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Festuca","Festuca_rupicola"
"ASV43","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae","Phyteuma","Phyteuma_hemisphaericum"
"ASV44","","","","","","",""
"ASV45","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Deschampsia","Deschampsia_cespitosa"
"ASV47","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Calluna","Calluna_vulgaris"
"ASV48","","","","","","",""
"ASV49","","","","","","",""
"ASV5","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Chionanthus","Chionanthus_ramiflorus"
"ASV50","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum_nigrum"
"ASV52","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla_adscharica"
"ASV54","","","","","","",""
"ASV55","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","Epilobium_brunnescens"
"ASV58","","","","","","",""
"ASV6","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","Sorbus_commixta"
"ASV60","","","","","","",""
"ASV61","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus","Juncus_subcaudatus"
"ASV62","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla_indica"
"ASV63","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus_aconitifolius"
"ASV64","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Calamagrostis","Calamagrostis_arenaria"
"ASV66","","","","","","",""
"ASV68","","","","","","",""
"ASV7","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","Plantago_atrata"
"ASV70","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Trisetum","Trisetum_subalpestre"
"ASV71","","","","","","",""
"ASV72","Viridiplantae","Streptophyta","Magnoliopsida","Proteales","Platanaceae","Platanus","Platanus_x"
"ASV74","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula","Luzula_piperi"
"ASV75","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Juniperus","Juniperus_rigida"
"ASV77","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Melanthiaceae","Veratrum","Veratrum_album"
"ASV78","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga_taygetea"
"ASV8","","","","","","",""
"ASV80","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Lotus","Lotus_stepposus"
"ASV81","","","","","","",""
"ASV82","","","","","","",""
"ASV83","","","","","","",""
"ASV88","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium_vitis-idaea"
"ASV89","","","","","","",""
"ASV9","","","","","","",""
"ASV90","","","","","","",""
"ASV91","","","","","","",""
"ASV92","Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium","Geranium_yesoense"
"ASV94","","","","","","",""
"ASV97","","","","","","",""
"ASV99","","","","","","",""
